1, 447 1 62 4 507;
2, 490 1 65 6 543;
3, 534 1 67 44 466;
4, 500 1 69 13 556;
5, 563 1 71 73 504;
6, 495 1 72 9 522;
7, 493 1 67 18 539;
8, 516 1 69 41 468;
9, 481 1 64 36 459;
10, 489 1 65 10 493;
11, 499 1 62 6 481;
12, 511 1 64 32 479;
13, 483 1 60 44 421;
14, 452 1 62 6 530;
15, 499 1 57 9 495;
16, 482 1 60 10 303;
17, 485 1 60 36 292;
18, 461 1 62 44 408;
19, 506 1 64 13 278;
20, 469 1 65 10 243;
21, 464 1 67 24 325;
22, 518 1 67 19 276;
23, 473 1 65 19 340;
24, 508 1 62 7 252;
25, 473 1 64 13 316;
26, 448 1 57 19 238;
27, 435 1 62 2 300;
28, 573 1 62 49 64;
29, 482 1 62 28 49;
30, 481 1 62 23 42;
31, 515 1 62 32 -999;
