1, 52369 1 52 33 268;
2, 5271 1 52 41 1652;
3, 3676 1 50 127 162;
4, 1256 1 50 127 312;
5, 1179 1 50 127 360;
6, 8309 1 48 21 391;
7, 0 1 49 122 363;
8, 1964 1 48 102 249;
9, 1280 1 48 120 324;
10, 1167 1 50 127 377;
11, 2 1 48 33 44;
12, 1789 1 48 127 278;
13, 968 1 48 75 262;
14, 815 1 48 94 182;
15, 760 1 50 70 141;
16, 621 1 50 127 61;
17, 303 1 50 103 48;
18, 437 1 50 127 72;
19, 314 1 50 127 59;
20, 263 1 50 120 42;
21, 214 1 50 84 56;
22, 203 1 50 119 43;
23, 190 1 50 127 46;
24, 190 1 50 120 58;
25, 195 1 50 77 -999;
