1, 2429 1 67 61 292;
2, 1378 1 67 41 91;
3, 233 1 67 70 67;
4, 221 1 67 89 84;
5, 273 1 67 84 1150;
6, 816 1 67 75 138;
7, 255 1 67 120 84;
8, 229 1 67 103 92;
9, 241 1 67 108 248;
10, 226 1 65 120 172;
11, 267 1 67 105 242;
12, 230 1 65 127 116;
13, 245 1 67 73 196;
14, 253 1 69 45 253;
15, 261 1 67 87 310;
16, 251 1 65 127 214;
17, 3759 1 70 4 263;
18, 4150 1 53 71 69;
19, 142 1 56 94 42;
20, 76 1 53 106 64;
21, 96 1 56 30 43;
22, 61 1 53 117 62;
23, 102 1 56 9 42;
24, 70 1 53 122 58;
25, 88 1 54 7 -999;
