1, 2148 1 73 103 589;
2, 2412 1 72 108 815;
3, 3634 1 69 32 229;
4, 17 1 71 21 5403;
5, 6652 1 71 127 5773;
6, 12775 1 81 127 4012;
7, 75392 1 76 110 1218;
8, 10728 1 72 33 931;
9, 5015 1 72 89 497;
10, 2747 1 72 68 1808;
11, 2788 1 72 65 148;
12, 26480 1 71 73 843;
13, 5903 1 72 82 944;
14, 1407 1 75 1 115;
15, 2722 1 75 80 397;
16, 1142 1 79 77 364;
17, 610 1 82 2 85;
18, 660 1 84 6 206;
19, 579 1 83 10 189;
20, 569 1 79 23 232;
21, 771 1 67 2 64;
22, 31558 1 67 115 131;
23, 1468 1 72 127 92;
24, 1467 1 77 127 74;
25, 1068 1 79 105 -999;
