1, 1993 1 57 68 106;
2, 3972 1 62 68 183;
3, 1682 1 65 113 143;
4, 1496 1 69 79 150;
5, 1747 1 67 59 120;
6, 47126 1 61 106 363;
7, 3374 1 61 15 42;
8, 6197 1 61 67 173;
9, 2217 1 73 79 746;
10, 2032 1 73 70 360;
11, 2488 1 73 58 108;
12, 17087 1 67 59 292;
13, 481 1 69 1 205;
14, 433 1 71 6 117;
15, 424 1 72 2 44;
16, 12 1 74 1 44;
17, 388 1 74 2 140;
18, 27618 1 75 127 1648;
19, 231328 1 69 35 298;
20, 2182 1 72 110 184;
21, 1248 1 74 54 88;
22, 1342 1 74 71 1383;
23, 2752 1 72 127 506;
24, 1664 1 77 61 580;
25, 1286 1 77 80 -999;
