1, 2399 1 53 110 242;
2, 1340 1 53 77 182;
3, 227 1 53 117 167;
4, 5352 1 57 7 328;
5, 503 1 53 4 311;
6, 520 1 57 27 228;
7, 375 1 53 58 236;
8, 8313 1 59 103 395;
9, 1460 1 55 68 282;
10, 1075 1 53 7 256;
11, 51224 1 59 47 246;
12, 1467 1 59 39 1086;
13, 2382 1 59 122 784;
14, 2182 1 59 13 2047;
15, 4068 1 48 120 57;
16, 1857 1 50 110 40;
17, 2653 1 50 127 40;
18, 14240 1 52 70 44;
19, 2399 1 53 89 117;
20, 1628 1 55 70 200;
21, 15830 1 57 77 1747;
22, 3134 1 57 59 97;
23, 1 1 59 19 43;
24, 836 1 57 62 94;
25, 902 1 57 71 -999;
