1, 144899 1 52 127 311;
2, 1031 1 53 65 316;
3, 0 1 55 42 218;
4, 10757 1 56 7 135;
5, 11270 1 55 9 369;
6, 40 1 54 4 343;
7, 924 1 57 1 270;
8, 920 1 59 47 209;
9, 681 1 62 1 170;
10, 30 1 60 7 76;
11, 8319 1 53 113 256;
12, 1019 1 55 119 211;
13, 114425 1 52 127 434;
14, 1116 1 50 87 475;
15, 33 1 48 23 70;
16, 768 1 52 62 317;
17, 0 1 53 21 214;
18, 840 1 53 6 434;
19, 15 1 55 1 432;
20, 999 1 55 58 1610;
21, 2484 1 57 110 3144;
22, 4290 1 57 94 356;
23, 1382 1 57 49 220;
24, 1215 1 55 108 232;
25, 817 1 53 117 -999;
