1, 36920 1 55 18 473;
2, 859 1 59 97 370;
3, 845 1 57 32 891;
4, 241442 1 72 1 532;
5, 357990 1 70 6 42;
6, 112 1 72 1 43;
7, 414586 1 66 7 232;
8, 839 1 66 6 419;
9, 868 1 68 28 379;
10, 704 1 66 21 375;
11, 1047 1 67 56 1000;
12, 951 1 65 41 424;
13, 21 1 64 33 376;
14, 636 1 64 127 136;
15, 308 1 65 47 155;
16, 126 1 64 105 103;
17, 187 1 71 32 46;
18, 8 1 67 35 226;
19, 143 1 65 93 124;
20, 71 1 64 54 108;
21, 226 1 71 13 127;
22, 26 1 67 19 176;
23, 78 1 65 77 164;
24, 112 1 64 67 120;
25, 205 1 69 13 -999;
