1, 2065 1 52 10 437;
2, 1369 1 57 68 82;
3, 3160 1 64 113 56;
4, 8361 1 57 56 307;
5, 1125 1 55 4 372;
6, 937 1 57 6 230;
7, 473 1 60 32 160;
8, 392 1 62 18 189;
9, 442 1 57 9 180;
10, 4788 1 60 6 280;
11, 1253 1 64 6 378;
12, 795 1 64 71 1316;
13, 79536 1 55 79 2142;
14, 3285 1 53 58 187;
15, 1149 1 53 77 225;
16, 728 1 53 127 178;
17, 481 1 53 127 130;
18, 436 1 53 120 129;
19, 433 1 53 106 112;
20, 430 1 53 110 63;
21, 181 1 53 106 74;
22, 259 1 53 97 85;
23, 4143 1 53 103 215;
24, 1155 1 53 103 155;
25, 855 1 53 102 -999;
