1, 40118 1 57 85 396;
2, 760 1 55 82 436;
3, 763 1 60 96 350;
4, 565 1 64 123 298;
5, 1 1 65 9 43;
6, 461 1 55 97 198;
7, 399 1 53 106 259;
8, 410 1 57 70 175;
9, 402 1 62 82 200;
10, 403 1 65 94 238;
11, 418 1 59 93 209;
12, 388 1 55 127 246;
13, 883 1 59 127 232;
14, 898 1 59 75 985;
15, 15 1 57 18 244;
16, 29249 1 53 19 413;
17, 738 1 59 75 317;
18, 550 1 55 35 368;
19, 72 1 53 6 98;
20, 550 1 58 33 312;
21, 552 1 60 45 237;
22, 383 1 55 97 356;
23, 296 1 57 13 286;
24, 252 1 59 44 200;
25, 261 1 55 91 -999;
