1, 28532 1 60 89 147;
2, 396 1 60 73 153;
3, 322 1 60 68 147;
4, 273 1 64 18 132;
5, 267 1 64 84 112;
6, 221 1 55 82 116;
7, 229 1 55 54 125;
8, 225 1 64 54 95;
9, 242 1 64 84 101;
10, 201 1 55 97 99;
11, 258 1 60 127 96;
12, 239 1 65 62 110;
13, 8 1 67 16 48;
14, 527 1 64 47 144;
15, 3 1 62 10 80;
16, 158 1 65 9 43;
17, 1 1 67 13 162;
18, 153 1 71 24 132;
19, 156 1 65 41 152;
20, 102 1 67 13 161;
21, 139 1 71 49 156;
22, 141 1 65 7 138;
23, 49 1 64 6 50;
24, 50 1 67 36 135;
25, 119 1 71 53 111;
26, 140 1 65 32 125;
27, 93 1 67 61 127;
28, 102 1 71 84 113;
29, 118 1 65 59 168;
30, 109 1 67 35 -999;
31, 100 1 71 93 -999;
