1, 252751 1 55 110 60;
2, 21 1 57 7 42;
3, 145 1 55 127 64;
4, 138 1 55 84 64;
5, 131 1 55 65 61;
6, 142 1 55 67 56;
7, 149 1 55 62 60;
8, 150 1 55 65 53;
9, 140 1 55 71 63;
10, 153 1 55 93 54;
11, 151 1 55 59 56;
12, 148 1 55 110 61;
13, 155 1 55 93 52;
14, 148 1 55 61 53;
15, 151 1 55 87 54;
16, 158 1 55 91 54;
17, 145 1 55 93 61;
18, 158 1 55 77 54;
19, 151 1 55 91 52;
20, 146 1 55 85 57;
21, 151 1 55 79 62;
22, 160 1 55 97 51;
23, 836 1 55 105 70;
24, 186 1 55 110 65;
25, 179 1 55 111 -999;
