1, 2054 1 60 91 274;
2, 268 1 69 91 247;
3, 240 1 60 54 269;
4, 248 1 69 51 279;
5, 261 1 60 70 272;
6, 264 1 69 53 181;
7, 1507 1 72 82 219;
8, 11 1 75 127 246;
9, 237 1 74 44 305;
10, 3 1 77 15 334;
11, 565 1 75 127 225;
12, 1 1 79 77 262;
13, 481 1 77 61 236;
14, 20 1 80 79 208;
15, 877 1 74 49 310;
16, 21 1 70 115 268;
17, 648 1 70 127 204;
18, 3 1 74 96 250;
19, 743 1 70 127 199;
20, 15 1 74 68 176;
21, 497 1 72 108 338;
22, 6 1 68 96 331;
23, 766 1 68 87 284;
24, 9 1 82 36 258;
25, 712 1 68 47 -999;
