1, 1839 1 72 117 70;
2, 999 1 72 103 67;
3, 942 1 72 127 74;
4, 894 1 72 127 58;
5, 1009 1 72 127 65;
6, 3435 1 72 80 56;
7, 857 1 72 127 76;
8, 818 1 72 82 64;
9, 814 1 72 108 62;
10, 804 1 72 113 71;
11, 33932 1 65 96 45;
12, 1562 1 65 53 1123;
13, 2149 1 77 77 978;
14, 81604 1 67 1 218;
15, 119320 1 69 65 62;
16, 26796 1 71 21 58;
17, 2580 1 72 111 86;
18, 23919 1 71 119 725;
19, 7419 1 72 119 214;
20, 922 1 74 93 116;
21, 16862 1 67 127 221;
22, 1354 1 72 127 82;
23, 90024 1 69 32 257;
24, 1598 1 74 89 369;
25, 330579 1 72 99 -999;
