1, 51991 1 72 93 65;
2, 2292 1 75 120 70;
3, 1111 1 74 77 67;
4, 1459 1 65 106 103;
5, 3334 1 72 125 87;
6, 1005 1 65 110 104;
7, 315 1 67 127 106;
8, 2756 1 69 91 88;
9, 424 1 72 96 104;
10, 28609 1 70 91 96;
11, 866 1 72 123 96;
12, 2616 1 72 127 60;
13, 397 1 74 73 120;
14, 362 1 77 54 120;
15, 383 1 81 85 73;
16, 1 1 83 65 99;
17, 2587 1 64 127 46;
18, 294 1 64 113 44;
19, 261 1 64 96 40;
20, 276 1 64 96 42;
21, 270 1 64 123 43;
22, 139057 1 72 105 76;
23, 1511 1 73 103 71;
24, 1093 1 74 84 89;
25, 1187 1 75 127 -999;
