1, 238411 1 57 59 105;
2, 538 1 57 65 180;
3, 561 1 57 35 158;
4, 565 1 57 42 127;
5, 555 1 57 62 161;
6, 549 1 60 79 142;
7, 561 1 57 6 161;
8, 595 1 60 27 131;
9, 546 1 57 16 225;
10, 560 1 60 36 172;
11, 531 1 53 7 270;
12, 541 1 60 41 212;
13, 511 1 57 4 319;
14, 563 1 60 35 202;
15, 507 1 53 21 264;
16, 520 1 60 39 182;
17, 466 1 57 7 270;
18, 481 1 60 32 156;
19, 452 1 53 10 173;
20, 491 1 60 44 126;
21, 447 1 57 2 167;
22, 520 1 60 51 111;
23, 466 1 53 9 150;
24, 488 1 60 21 94;
25, 484 1 57 4 -999;
