1, 521556 1 61 1 108;
2, 31356 1 61 2 1332;
3, 1650 1 61 4 101;
4, 1834 1 61 2 91;
5, 281 1 61 1 266;
6, 507763 1 61 1 92;
7, 1773 1 61 1 83;
8, 249 1 61 1 924;
9, 1060 1 61 2 53;
10, 445 1 61 1 809;
11, 80448 1 58 1 140;
12, 36178 1 61 1 385;
13, 312262 1 60 68 598;
14, 616 1 62 13 410;
15, 334 1 55 4 103;
16, 15 1 57 1 120;
17, 177 1 62 1 174;
18, 166 1 57 1 96;
19, 439 1 62 32 98;
20, 216 1 62 28 99;
21, 25 1 57 1 72;
22, 216 1 55 10 123;
23, 241 1 55 24 144;
24, 29 1 60 24 85;
25, 243 1 53 53 174;
26, 9 1 59 61 103;
27, 312 1 53 39 125;
28, 1 1 59 105 119;
29, 304 1 55 51 137;
30, 9 1 60 79 97;
31, 318 1 57 21 -999;
